image_id;set_id;scene_id;version_id
33;1;1;0
34;1;1;1
35;1;1;2
36;1;2;0
37;1;2;1
38;1;2;2
39;1;3;0
40;1;3;1
41;1;3;2
42;2;4;0
43;2;4;1
44;2;4;2
45;2;5;0
46;2;5;1
47;2;5;2
48;2;6;0
49;2;6;1
50;2;6;2
51;3;7;0
52;3;7;1
53;3;7;2
54;4;8;0
55;4;8;1
56;4;8;2
57;5;9;0
58;5;9;1
59;5;9;2
60;6;10;0
61;6;10;1
62;6;10;2
63;7;11;1
64;7;11;2
65;7;12;1
66;7;12;2
67;8;13;0
68;8;13;1
69;8;13;2
70;9;14;0
71;9;14;1
72;9;14;2
73;10;15;0
74;10;15;1
75;10;15;2
76;10;16;0
77;10;16;1
78;10;16;2
79;11;17;1
80;11;17;2
81;12;18;1
82;12;18;2
83;13;19;1
84;13;19;2
85;13;20;1
86;13;20;2
87;13;21;1
88;13;21;2
89;13;22;1
90;13;22;2
