;image_id;set_id;scene_id;version_id;dalt_id;coldef_type;is_correct;resp_time;observer_id;observer_coldef_type;session_id;filepath
0;73;10;15;0;0;0;0.0;1.3011046648025513;10;2;6;images/set10/0730000000.png
1;74;10;15;1;0;0;0.0;1.7181123495101929;10;2;6;images/set10/0740000000.png
2;74;10;15;1;1;1;0.0;1.2344064712524414;10;2;6;images/set10/0741010001.png
3;74;10;15;1;1;2;0.0;1.4012451171875;10;2;6;images/set10/0741010002.png
4;74;10;15;1;2;1;0.0;1.0175780057907104;10;2;6;images/set10/0741020001.png
5;74;10;15;1;2;2;0.0;1.9849838018417358;10;2;6;images/set10/0741020002.png
6;74;10;15;1;3;1;0.0;1.1009788513183594;10;2;6;images/set10/0741030001.png
7;74;10;15;1;3;2;0.0;1.3344498872756958;10;2;6;images/set10/0741030002.png
8;74;10;15;1;4;1;0.0;2.1183853149414062;10;2;6;images/set10/0741040001.png
9;74;10;15;1;4;2;0.0;1.8848813772201538;10;2;6;images/set10/0741040002.png
10;74;10;15;1;99;1;1.0;1.467819333076477;10;2;6;images/set10/0741990001.png
11;75;10;15;2;0;0;0.0;2.0850417613983154;10;2;6;images/set10/0750000000.png
12;75;10;15;2;1;1;0.0;2.968921422958374;10;2;6;images/set10/0751010001.png
13;75;10;15;2;1;2;0.0;1.8347253799438477;10;2;6;images/set10/0751010002.png
14;75;10;15;2;2;1;0.0;1.5346497297286987;10;2;6;images/set10/0751020001.png
15;75;10;15;2;2;2;0.0;1.8849540948867798;10;2;6;images/set10/0751020002.png
16;75;10;15;2;3;1;1.0;2.051722288131714;10;2;6;images/set10/0751030001.png
17;75;10;15;2;3;2;0.0;2.785764694213867;10;2;6;images/set10/0751030002.png
18;75;10;15;2;4;1;0.0;1.4178578853607178;10;2;6;images/set10/0751040001.png
19;75;10;15;2;4;2;1.0;1.317769169807434;10;2;6;images/set10/0751040002.png
20;75;10;15;2;99;1;0.0;2.5686960220336914;10;2;6;images/set10/0751990001.png
21;63;7;11;1;0;0;1.0;0.8173709511756897;10;2;6;images/set7/0630000000.png
22;63;7;11;1;1;1;1.0;0.8173872232437134;10;2;6;images/set7/0631010001.png
23;63;7;11;1;1;2;1.0;0.8174248337745667;10;2;6;images/set7/0631010002.png
24;63;7;11;1;2;1;1.0;1.1009377241134644;10;2;6;images/set7/0631020001.png
25;63;7;11;1;2;2;1.0;1.167673110961914;10;2;6;images/set7/0631020002.png
26;63;7;11;1;3;1;0.0;1.8848518133163452;10;2;6;images/set7/0631030001.png
27;63;7;11;1;3;2;0.0;1.617982029914856;10;2;6;images/set7/0631030002.png
28;63;7;11;1;4;1;1.0;0.7506582140922546;10;2;6;images/set7/0631040001.png
29;63;7;11;1;4;2;0.0;1.4178775548934937;10;2;6;images/set7/0631040002.png
30;63;7;11;1;99;1;0.0;1.1676526069641113;10;2;6;images/set7/0631990001.png
31;64;7;11;2;0;0;1.0;1.5011385679244995;10;2;6;images/set7/0640000000.png
32;64;7;11;2;1;1;1.0;1.6846956014633179;10;2;6;images/set7/0641010001.png
33;64;7;11;2;1;2;1.0;1.7682020664215088;10;2;6;images/set7/0641010002.png
34;64;7;11;2;2;1;1.0;1.9183322191238403;10;2;6;images/set7/0641020001.png
35;64;7;11;2;2;2;1.0;1.4179400205612183;10;2;6;images/set7/0641020002.png
36;64;7;11;2;3;1;1.0;0.9009406566619873;10;2;6;images/set7/0641030001.png
37;64;7;11;2;3;2;1.0;1.4845757484436035;10;2;6;images/set7/0641030002.png
38;64;7;11;2;4;1;1.0;1.5677571296691895;10;2;6;images/set7/0641040001.png
